tag,keyword,name,value
"(0020,0052)",FrameOfReferenceUID,Frame of Reference UID,1.2.826.0.1.3680043.2.1143.7671044842464184335443239547790660582
"(0020,1040)",PositionReferenceIndicator,Position Reference Indicator,
"(0020,9072)",FrameLaterality,Frame Laterality,U
"(0020,9254)",RespiratoryIntervalTime,Respiratory Interval Time,0.0
"(0020,9255)",NominalRespiratoryTriggerDelayTime,Nominal Respiratory Trigger Delay Time,0.0
"(0028,0002)",SamplesPerPixel,Samples per Pixel,1
"(0028,0004)",PhotometricInterpretation,Photometric Interpretation,MONOCHROME2
"(0028,0008)",NumberOfFrames,Number of Frames,10
"(0028,0010)",Rows,Rows,64
"(0028,0011)",Columns,Columns,64
"(0028,0100)",BitsAllocated,Bits Allocated,16
"(0028,0101)",BitsStored,Bits Stored,12
"(0028,0102)",HighBit,High Bit,11
"(0028,0103)",PixelRepresentation,Pixel Representation,0
"(0028,0301)",BurnedInAnnotation,Burned In Annotation,NO
"(0028,2110)",LossyImageCompression,Lossy Image Compression,00
"(0028,9001)",DataPointRows,Data Point Rows,1
"(0028,9002)",DataPointColumns,Data Point Columns,0
"(2050,0020)",PresentationLUTShape,Presentation LUT Shape,IDENTITY
